year,round,round_type,home_team,away_team,ground_condition,weather_condition,main_ref,fields_shifted,team,opponent,is_home,team_time_in_possession,team_all_runs,team_all_run_metres,team_post_contact_metres,team_line_breaks,team_tackle_breaks,team_offloads,team_kicks,team_kicking_metres,team_tackles_made,team_missed_tackles,team_errors,team_penalties_conceded,team_interchanges_used,team_completion_rate_pct,team_avg_play_ball_speed_s,team_kick_defusal_pct,team_effective_tackle_pct,team_tries,opp_time_in_possession,opp_all_runs,opp_all_run_metres,opp_post_contact_metres,opp_line_breaks,opp_tackle_breaks,opp_offloads,opp_kicks,opp_kicking_metres,opp_tackles_made,opp_missed_tackles,opp_errors,opp_penalties_conceded,opp_interchanges_used,opp_completion_rate_pct,opp_avg_play_ball_speed_s,opp_kick_defusal_pct,opp_effective_tackle_pct,opp_tries
2015,1,regular,Broncos,Rabbitohs,Good,Fine,Gerard Sutton,True,Broncos,Rabbitohs,True,09:22,127.0,1094.0,367.0,1.0,18.0,306.0,407.0,0.0,25.0,0.0,1.0,,,,3.49,77.0,90.74,1.0,14:41,196.0,1686.0,498.0,6.0,25.0,401.0,385.0,3.0,18.0,1.0,1.0,,,,3.43,100.0,90.0,5.0
2015,1,regular,Broncos,Rabbitohs,Good,Fine,Gerard Sutton,True,Rabbitohs,Broncos,False,14:41,196.0,1686.0,498.0,6.0,25.0,401.0,385.0,3.0,18.0,1.0,1.0,,,,3.43,100.0,90.0,5.0,09:22,127.0,1094.0,367.0,1.0,18.0,306.0,407.0,0.0,25.0,0.0,1.0,,,,3.49,77.0,90.74,1.0
2015,1,regular,Eels,Sea Eagles,Good,Fine,Matt Cecchin,True,Eels,Sea Eagles,True,15:35,152.0,1371.0,409.0,6.0,27.0,302.0,362.0,1.0,22.0,28.0,,,,,3.74,90.0,83.92,7.0,07:47,159.0,1158.0,338.0,3.0,22.0,334.0,353.0,3.0,27.0,14.0,,,,,3.57,75.0,87.03,2.0
2015,1,regular,Eels,Sea Eagles,Good,Fine,Matt Cecchin,True,Sea Eagles,Eels,False,07:47,159.0,1158.0,338.0,3.0,22.0,334.0,353.0,3.0,27.0,14.0,,,,,3.57,75.0,87.03,2.0,15:35,152.0,1371.0,409.0,6.0,27.0,302.0,362.0,1.0,22.0,28.0,,,,,3.74,90.0,83.92,7.0
2015,1,regular,Knights,Warriors,Good,Fine,Ashley Klein,False,Knights,Warriors,True,27:41,175.0,1753.0,521.0,6.0,30.0,11.0,21.0,497.0,5.0,353.0,14.0,10.0,,73.0,3.38,80.0,87.4,4.0,25:33,196.0,1731.0,489.0,8.0,37.0,10.0,21.0,483.0,3.0,330.0,21.0,8.0,,66.0,3.31,91.0,86.6,2.0
2015,1,regular,Knights,Warriors,Good,Fine,Ashley Klein,False,Warriors,Knights,False,25:33,196.0,1731.0,489.0,8.0,37.0,10.0,21.0,483.0,3.0,330.0,21.0,8.0,,66.0,3.31,91.0,86.6,2.0,27:41,175.0,1753.0,521.0,6.0,30.0,11.0,21.0,497.0,5.0,353.0,14.0,10.0,,73.0,3.38,80.0,87.4,4.0
2015,1,regular,Titans,Wests Tigers,Good,Fine,Adam Gee,False,Titans,Wests Tigers,True,20:24,168.0,1420.0,492.0,2.0,22.0,12.0,14.0,342.0,1.0,346.0,13.0,8.0,,64.0,3.66,100.0,89.4,3.0,22:06,165.0,1479.0,585.0,3.0,28.0,6.0,14.0,447.0,3.0,312.0,18.0,10.0,,72.0,3.62,50.0,88.6,3.0
2015,1,regular,Titans,Wests Tigers,Good,Fine,Adam Gee,False,Wests Tigers,Titans,False,22:06,165.0,1479.0,585.0,3.0,28.0,6.0,14.0,447.0,3.0,312.0,18.0,10.0,,72.0,3.62,50.0,88.6,3.0,20:24,168.0,1420.0,492.0,2.0,22.0,12.0,14.0,342.0,1.0,346.0,13.0,8.0,,64.0,3.66,100.0,89.4,3.0
2015,1,regular,Cowboys,Roosters,Good,Fine,Jared Maxwell,True,Cowboys,Roosters,True,13:26,193.0,1544.0,527.0,1.0,18.0,467.0,550.0,3.0,23.0,14.0,,,,,3.7,45.0,88.79,1.0,13:55,161.0,1528.0,479.0,5.0,23.0,352.0,457.0,0.0,18.0,13.0,,,,,3.43,64.0,91.97,5.0
2015,1,regular,Cowboys,Roosters,Good,Fine,Jared Maxwell,True,Roosters,Cowboys,False,13:55,161.0,1528.0,479.0,5.0,23.0,352.0,457.0,0.0,18.0,13.0,,,,,3.43,64.0,91.97,5.0,13:26,193.0,1544.0,527.0,1.0,18.0,467.0,550.0,3.0,23.0,14.0,,,,,3.7,45.0,88.79,1.0
2015,1,regular,Panthers,Bulldogs,Good,Fine,Ben Cummins,True,Panthers,Bulldogs,True,12:31,162.0,1497.0,436.0,5.0,30.0,353.0,536.0,0.0,31.0,1.0,0.0,,,,3.38,86.0,83.59,4.0,14:49,190.0,1561.0,526.0,6.0,31.0,386.0,492.0,1.0,30.0,2.0,1.0,,,,3.67,70.0,85.02,3.0
2015,1,regular,Panthers,Bulldogs,Good,Fine,Ben Cummins,True,Bulldogs,Panthers,False,14:49,190.0,1561.0,526.0,6.0,31.0,386.0,492.0,1.0,30.0,2.0,1.0,,,,3.67,70.0,85.02,3.0,12:31,162.0,1497.0,436.0,5.0,30.0,353.0,536.0,0.0,31.0,1.0,0.0,,,,3.38,86.0,83.59,4.0
2015,1,regular,Sharks,Raiders,Fair,,Alan Shortall,False,Sharks,Raiders,True,30:12,168.0,1574.0,572.0,3.0,20.0,17.0,14.0,384.0,16.0,14.0,1.0,,,66.0,3.47,67.0,90.7,3.0,16:15,156.0,1381.0,445.0,5.0,16.0,8.0,17.0,496.0,20.0,24.0,1.0,,,70.0,3.52,100.0,87.4,4.0
2015,1,regular,Sharks,Raiders,Fair,,Alan Shortall,False,Raiders,Sharks,False,16:15,156.0,1381.0,445.0,5.0,16.0,8.0,17.0,496.0,20.0,24.0,1.0,,,70.0,3.52,100.0,87.4,4.0,30:12,168.0,1574.0,572.0,3.0,20.0,17.0,14.0,384.0,16.0,14.0,1.0,,,66.0,3.47,67.0,90.7,3.0
2015,1,regular,Dragons,Storm,Good,Fine,Dave Munro,True,Dragons,Storm,True,15:15,211.0,1699.0,542.0,1.0,33.0,468.0,629.0,2.0,325.0,19.0,0.0,,,,3.81,89.0,91.04,1.0,13:50,170.0,1582.0,468.0,1.0,19.0,347.0,440.0,1.0,390.0,33.0,3.0,,,,3.77,83.0,87.84,2.0
2015,1,regular,Dragons,Storm,Good,Fine,Dave Munro,True,Storm,Dragons,False,13:50,170.0,1582.0,468.0,1.0,19.0,347.0,440.0,1.0,390.0,33.0,3.0,,,,3.77,83.0,87.84,2.0,15:15,211.0,1699.0,542.0,1.0,33.0,468.0,629.0,2.0,325.0,19.0,0.0,,,,3.81,89.0,91.04,1.0
2016,1,regular,Eels,Broncos,Good,Fine,Matt Cecchin,True,Eels,Broncos,True,28:12,168.0,1203.0,259.0,2.0,28.0,394.0,337.0,0.0,17.0,16.0,7.0,,,,3.03,62.0,91.52,1.0,28:25,159.0,1339.0,320.0,5.0,17.0,390.0,576.0,2.0,28.0,27.0,8.0,,,,3.9,71.0,84.51,3.0
2016,1,regular,Eels,Broncos,Good,Fine,Matt Cecchin,True,Broncos,Eels,False,28:25,159.0,1339.0,320.0,5.0,17.0,390.0,576.0,2.0,28.0,27.0,8.0,,,,3.9,71.0,84.51,3.0,28:12,168.0,1203.0,259.0,2.0,28.0,394.0,337.0,0.0,17.0,16.0,7.0,,,,3.03,62.0,91.52,1.0
2016,1,regular,Sea Eagles,Bulldogs,Good,Fine,Gerard Sutton,True,Sea Eagles,Bulldogs,True,27:58,164.0,1334.0,505.0,1.0,14.0,377.0,449.0,4.0,19.0,7.0,2.0,8.0,,,3.79,70.0,93.85,1.0,30:43,202.0,1645.0,572.0,3.0,19.0,426.0,584.0,0.0,14.0,13.0,0.0,7.0,,,3.67,100.0,92.42,5.0
2016,1,regular,Sea Eagles,Bulldogs,Good,Fine,Gerard Sutton,True,Bulldogs,Sea Eagles,False,30:43,202.0,1645.0,572.0,3.0,19.0,426.0,584.0,0.0,14.0,13.0,0.0,7.0,,,3.67,100.0,92.42,5.0,27:58,164.0,1334.0,505.0,1.0,14.0,377.0,449.0,4.0,19.0,7.0,2.0,8.0,,,3.79,70.0,93.85,1.0
2016,1,regular,Raiders,Panthers,Good,Fine,Dave Munro,True,Raiders,Panthers,True,23:07,170.0,1315.0,297.0,6.0,35.0,335.0,430.0,1.0,20.0,2.0,7.0,8.0,,,3.82,70.0,88.75,5.0,27:03,148.0,1334.0,320.0,4.0,20.0,357.0,349.0,1.0,36.0,0.0,11.0,8.0,,,3.62,100.0,84.82,3.0
2016,1,regular,Raiders,Panthers,Good,Fine,Dave Munro,True,Panthers,Raiders,False,27:03,148.0,1334.0,320.0,4.0,20.0,357.0,349.0,1.0,36.0,0.0,11.0,8.0,,,3.62,100.0,84.82,3.0,23:07,170.0,1315.0,297.0,6.0,35.0,335.0,430.0,1.0,20.0,2.0,7.0,8.0,,,3.82,70.0,88.75,5.0
2016,1,regular,Wests Tigers,Warriors,Good,Fine,Ashley Klein,False,Wests Tigers,Warriors,True,25:08,157.0,1429.0,361.0,5.0,32.0,8.0,14.0,356.0,290.0,24.0,10.0,9.0,,69.0,3.97,56.0,89.8,6.0,23:12,137.0,1320.0,299.0,5.0,24.0,5.0,15.0,353.0,311.0,32.0,9.0,8.0,,72.0,3.11,33.0,87.4,5.0
2016,1,regular,Wests Tigers,Warriors,Good,Fine,Ashley Klein,False,Warriors,Wests Tigers,False,23:12,137.0,1320.0,299.0,5.0,24.0,5.0,15.0,353.0,311.0,32.0,9.0,8.0,,72.0,3.11,33.0,87.4,5.0,25:08,157.0,1429.0,361.0,5.0,32.0,8.0,14.0,356.0,290.0,24.0,10.0,9.0,,69.0,3.97,56.0,89.8,6.0
2016,1,regular,Cowboys,Sharks,Good,Rain and Thunder,Belinda Sharpe,False,Cowboys,Sharks,True,25:41,163.0,1385.0,336.0,2.0,24.0,0.0,20.0,494.0,292.0,27.0,8.0,7.0,,75.0,3.81,83.0,89.0,3.0,24:41,161.0,1333.0,355.0,2.0,27.0,7.0,17.0,441.0,358.0,24.0,11.0,8.0,,74.0,3.77,92.0,93.7,2.0
2016,1,regular,Cowboys,Sharks,Good,Rain and Thunder,Belinda Sharpe,False,Sharks,Cowboys,False,24:41,161.0,1333.0,355.0,2.0,27.0,7.0,17.0,441.0,358.0,24.0,11.0,8.0,,74.0,3.77,92.0,93.7,2.0,25:41,163.0,1385.0,336.0,2.0,24.0,0.0,20.0,494.0,292.0,27.0,8.0,7.0,,75.0,3.81,83.0,89.0,3.0
2016,1,regular,Roosters,Rabbitohs,Good,Fine,Jared Maxwell,True,Roosters,Rabbitohs,True,26:25,150.0,1115.0,204.0,2.0,28.0,354.0,345.0,2.0,24.0,18.0,8.0,0.0,,,3.33,69.0,89.23,2.0,26:57,184.0,1604.0,354.0,7.0,24.0,403.0,531.0,2.0,28.0,10.0,8.0,3.0,,,3.33,88.0,89.39,8.0
2016,1,regular,Roosters,Rabbitohs,Good,Fine,Jared Maxwell,True,Rabbitohs,Roosters,False,26:57,184.0,1604.0,354.0,7.0,24.0,403.0,531.0,2.0,28.0,10.0,8.0,3.0,,,3.33,88.0,89.39,8.0,26:25,150.0,1115.0,204.0,2.0,28.0,354.0,345.0,2.0,24.0,18.0,8.0,0.0,,,3.33,69.0,89.23,2.0
2016,1,regular,Titans,Knights,Good,Partly Cloudy,Peter Gough,False,Titans,Knights,True,27:11,168.0,1310.0,317.0,2.0,19.0,11.0,20.0,507.0,24.0,3.0,0.0,7.0,,76.0,3.99,62.0,91.8,5.0,23:10,150.0,1162.0,246.0,2.0,23.0,4.0,14.0,362.0,19.0,15.0,1.0,8.0,,66.0,3.48,56.0,91.6,2.0
2016,1,regular,Titans,Knights,Good,Partly Cloudy,Peter Gough,False,Knights,Titans,False,23:10,150.0,1162.0,246.0,2.0,23.0,4.0,14.0,362.0,19.0,15.0,1.0,8.0,,66.0,3.48,56.0,91.6,2.0,27:11,168.0,1310.0,317.0,2.0,19.0,11.0,20.0,507.0,24.0,3.0,0.0,7.0,,76.0,3.99,62.0,91.8,5.0
2016,1,regular,Storm,Dragons,Good,Fine,Grant Atkins,True,Storm,Dragons,True,25:56,154.0,1242.0,290.0,5.0,21.0,380.0,483.0,2.0,20.0,0.0,4.0,8.0,,,3.67,75.0,91.86,3.0,29:08,168.0,1243.0,339.0,3.0,20.0,376.0,605.0,2.0,21.0,1.0,9.0,8.0,,,3.57,64.0,89.58,3.0
